season,weeks_with_elim,diff_weeks,diff_share
1,3,1,0.3333333333333333
2,6,3,0.5
3,7,4,0.5714285714285714
4,7,3,0.42857142857142855
5,5,0,0.0
6,7,3,0.42857142857142855
7,7,3,0.42857142857142855
8,8,4,0.5
9,8,5,0.625
10,7,2,0.2857142857142857
11,8,4,0.5
12,7,3,0.42857142857142855
13,8,4,0.5
14,7,1,0.14285714285714285
15,6,2,0.3333333333333333
16,7,3,0.42857142857142855
17,7,4,0.5714285714285714
18,6,2,0.3333333333333333
19,8,3,0.375
20,7,3,0.42857142857142855
21,6,2,0.3333333333333333
22,6,2,0.3333333333333333
23,7,3,0.42857142857142855
24,7,3,0.42857142857142855
25,6,3,0.5
26,2,2,1.0
27,6,2,0.3333333333333333
28,6,2,0.3333333333333333
29,8,4,0.5
30,7,4,0.5714285714285714
31,8,6,0.75
32,9,7,0.7777777777777778
33,1,1,1.0
34,7,5,0.7142857142857143
